Date,Open,High,Low,Close,Volume
2024-04-24,2350,2350,2300,2335,79596
2024-04-25,2335,2345,2300,2330,32241
2024-04-26,2330,2335,2300,2330,58716
2024-04-29,2330,2330,2300,2315,54655
2024-04-30,2315,2330,2305,2320,23540
2024-05-02,2320,2350,2315,2350,11354
2024-05-03,2350,2360,2330,2355,8086
2024-05-07,2355,2370,2335,2350,17048
2024-05-08,2360,2360,2335,2335,12239
2024-05-09,2345,2445,2335,2445,182953
2024-05-10,2465,2465,2430,2455,67119
2024-05-13,2460,2460,2390,2425,77465
2024-05-14,2425,2430,2390,2430,33991
2024-05-16,2435,2435,2395,2415,29081
2024-05-17,2415,2440,2405,2430,26440
2024-05-20,2430,2435,2380,2435,26817
2024-05-21,2420,2435,2390,2425,18240
2024-05-22,2430,2430,2400,2415,3074
2024-05-23,2420,2430,2395,2420,13004
2024-05-24,2400,2480,2345,2400,93998
2024-05-27,2405,2410,2380,2405,29167
2024-05-28,2380,2455,2380,2440,39380
2024-05-29,2440,2445,2395,2405,24976
2024-05-30,2405,2420,2390,2410,18648
2024-05-31,2410,2425,2385,2415,20976
2024-06-03,2385,2425,2385,2425,15143
2024-06-04,2425,2430,2350,2400,35486
2024-06-05,2380,2410,2375,2405,13570
2024-06-07,2405,2410,2390,2405,11785
2024-06-10,2405,2425,2395,2420,31801
2024-06-11,2415,2430,2405,2430,33487
2024-06-12,2435,2495,2430,2495,126669
2024-06-13,2500,2560,2490,2555,126705
2024-06-14,2540,2550,2450,2525,79274
2024-06-17,2500,2535,2495,2525,33402
2024-06-18,2525,2540,2470,2520,30605
2024-06-19,2485,2505,2430,2485,89976
2024-06-20,2485,2505,2445,2500,57650
2024-06-21,2500,2525,2450,2515,93669
2024-06-24,2520,2520,2485,2520,36752
2024-06-25,2510,2525,2500,2505,9516
2024-06-26,2510,2515,2485,2500,24623
2024-06-27,2500,2515,2475,2500,21479
2024-06-28,2480,2545,2445,2485,108532
2024-07-01,2495,2495,2400,2405,70626
2024-07-02,2400,2430,2340,2350,30535
2024-07-03,2350,2380,2340,2380,14681
2024-07-04,2350,2420,2350,2415,12001
2024-07-05,2425,2425,2390,2410,8112
2024-07-08,2410,2415,2350,2350,46835
2024-07-09,2365,2385,2360,2380,14760
2024-07-10,2380,2400,2370,2400,13703
2024-07-11,2420,2420,2360,2380,57000
2024-07-12,2375,2380,2345,2380,19685
2024-07-15,2360,2390,2355,2380,10632
2024-07-16,2380,2385,2355,2380,22638
2024-07-17,2390,2390,2355,2370,14894
2024-07-18,2370,2370,2335,2365,20010
2024-07-19,2365,2365,2340,2350,79023
2024-07-22,2360,2360,2295,2320,63509
2024-07-23,2320,2340,2315,2330,12346
2024-07-24,2345,2345,2280,2325,22515
2024-07-25,2315,2320,2300,2320,16301
2024-07-26,2295,2320,2290,2310,12676
2024-07-29,2305,2320,2215,2305,27068
2024-07-30,2300,2305,2265,2295,14338
2024-07-31,2300,2305,2270,2305,8232
2024-08-01,2305,2320,2285,2310,13006
2024-08-02,2320,2320,2265,2295,23028
2024-08-05,2290,2295,2130,2165,52240
2024-08-06,2000,2230,2000,2185,50365
2024-08-07,2125,2245,2125,2245,12858
2024-08-08,2245,2265,2215,2260,13676
2024-08-09,2260,2275,2100,2190,173125
2024-08-12,2185,2185,2000,2110,102475
2024-08-13,2120,2120,2020,2090,37455
2024-08-14,2070,2130,2070,2130,26556
2024-08-16,2140,2160,2120,2145,19317
2024-08-19,2170,2170,2125,2155,5296
2024-08-20,2150,2195,2145,2190,14765
2024-08-21,2200,2200,2145,2175,21035
2024-08-22,2170,2190,2130,2170,14921
2024-08-23,2165,2170,2140,2165,11778
2024-08-26,2165,2170,2115,2120,25307
2024-08-27,2110,2125,2065,2100,31885
2024-08-28,2080,2225,2080,2180,90038
2024-08-29,2200,2205,2160,2180,20893
2024-08-30,2170,2200,2165,2165,14335
2024-09-02,2165,2190,2160,2160,20244
2024-09-03,2175,2195,2160,2195,11276
2024-09-04,2195,2195,2125,2160,9113
2024-09-05,2140,2175,2120,2155,9515
2024-09-06,2155,2170,2090,2090,13396
2024-09-09,2090,2100,2040,2070,32528
2024-09-10,2050,2085,2000,2040,55164
2024-09-11,2020,2055,2000,2030,47447
2024-09-12,2010,2060,2010,2045,15771
2024-09-13,2045,2050,2015,2040,15055
2024-09-19,2040,2060,2030,2055,34067
2024-09-20,2085,2260,2065,2150,76360
2024-09-23,2145,2225,2125,2195,59313
2024-09-24,2185,2305,2185,2280,86778
2024-09-25,2260,2320,2250,2320,60311
2024-09-26,2310,2350,2295,2350,76090
2024-09-27,2350,2350,2255,2255,38704
2024-09-30,2290,2300,2230,2245,24430
2024-10-02,2245,2270,2195,2255,17674
2024-10-04,2235,2270,2225,2260,13295
2024-10-07,2245,2290,2245,2280,11486
2024-10-08,2260,2280,2205,2270,31120
2024-10-10,2250,2280,2220,2250,21789
2024-10-11,2230,2270,2220,2250,15506
2024-10-14,2230,2265,2175,2200,36807
2024-10-15,2180,2265,2180,2225,22756
2024-10-16,2205,2240,2195,2230,5709
2024-10-17,2210,2245,2165,2230,7669
2024-10-18,2225,2240,2190,2220,12667
2024-10-21,2200,2235,2155,2225,9420
2024-10-22,2165,2215,2165,2185,10946
2024-10-23,2200,2200,2070,2175,12442
2024-10-24,2175,2190,2140,2170,2348
2024-10-25,2150,2185,2085,2160,73850
2024-10-28,2160,2235,2160,2230,49997
2024-10-29,2210,2220,2095,2205,32600
2024-10-30,2185,2230,2165,2225,31839
2024-10-31,2170,2200,2150,2200,13669
2024-11-01,2180,2180,2130,2150,15169
2024-11-04,2130,2170,2130,2170,7982
2024-11-05,2155,2190,2135,2170,7545
2024-11-06,2165,2195,2115,2120,20512
2024-11-07,2120,2185,2105,2140,27365
2024-11-08,2150,2150,2110,2140,6048
2024-11-11,2140,2140,2060,2060,37263
2024-11-12,2060,2075,1993,1994,127725
2024-11-13,1994,2010,1947,1988,104700
2024-11-14,1989,2085,1989,2070,61214
2024-11-15,2050,2085,2000,2065,35600
2024-11-18,2025,2095,2025,2090,37046
2024-11-19,2070,2130,2070,2130,10960
2024-11-20,2110,2170,2110,2150,14286
2024-11-21,2165,2180,2055,2170,17975
2024-11-22,2170,2170,2135,2155,6860
2024-11-25,2135,2160,2115,2150,8929
2024-11-26,2105,2130,2045,2065,43990
2024-11-27,2045,2100,2045,2100,9696
2024-11-28,2115,2120,2075,2105,7825
2024-11-29,2085,2115,2070,2090,10336
2024-12-02,2105,2110,2075,2105,30558
2024-12-03,2090,2135,2090,2130,12615
2024-12-04,2075,2135,2055,2100,18848
2024-12-05,2100,2125,2090,2115,17056
2024-12-06,2095,2120,2060,2085,17479
2024-12-09,2070,2080,1985,2000,25987
2024-12-10,2000,2050,1992,2045,32994
