회사명,종목코드,업종,Sector
삼성전자,005930,반도체와반도체장비,Information Technology
SK하이닉스,000660,반도체와반도체장비,Information Technology
현대차,005380,자동차,Consumer Discretionary
삼성전자우,005935,반도체와반도체장비,Information Technology
LG에너지솔루션,373220,전기제품,Utilities
삼성바이오로직스,207940,제약,Health Care
SK스퀘어,402340,복합기업,Industrials
한화에어로스페이스,012450,우주항공과국방,Industrials
두산에너빌리티,034020,기계,Industrials
기아,000270,자동차,Consumer Discretionary
HD현대중공업,329180,조선,Industrials
KB금융,105560,은행,Financials
삼성물산,028260,복합기업,Industrials
셀트리온,068270,제약,Health Care
한화오션,042660,조선,Industrials
신한지주,055550,은행,Financials
NAVER,035420,양방향미디어와서비스,Communication Services
현대모비스,012330,자동차부품,Consumer Discretionary
한국전력,015760,전기유틸리티,Utilities
삼성생명,032830,생명보험,Financials
고려아연,010130,비철금속,Materials
HD현대일렉트릭,267260,전기장비,Utilities
삼성SDI,006400,전기제품,Utilities
하나금융지주,086790,은행,Financials
HD한국조선해양,009540,조선,Industrials
POSCO홀딩스,005490,철강,Materials
미래에셋증권,006800,증권,Financials
카카오,035720,양방향미디어와서비스,Communication Services
삼성중공업,010140,조선,Industrials
현대로템,064350,우주항공과국방,Industrials
SK,034730,석유와가스,Energy
에코프로,086520,화학,Materials
삼성화재,000810,손해보험,Financials
우리금융지주,316140,은행,Financials
한화시스템,272210,우주항공과국방,Industrials
삼성전기,009150,전자장비와기기,Information Technology
LG화학,051910,화학,Materials
효성중공업,298040,전기장비,Utilities
에코프로비엠,247540,전기제품,Utilities
메리츠금융지주,138040,증권,Financials
알테오젠,196170,생물공학,Health Care
포스코퓨처엠,003670,화학,Materials
HMM,011200,해운사,Industrials
한미반도체,042700,반도체와반도체장비,Information Technology
LS ELECTRIC,010120,전기장비,Utilities
KT&G,033780,담배,Consumer Staples
SK이노베이션,096770,석유와가스,Energy
HD현대,267250,조선,Industrials
현대글로비스,086280,항공화물운송과물류,Industrials
기업은행,024110,은행,Financials
LG전자,066570,전자제품,Information Technology
SK텔레콤,017670,무선통신서비스,Communication Services
한국항공우주,047810,우주항공과국방,Industrials
하이브,352820,방송과엔터테인먼트,Consumer Discretionary
삼성에피스홀딩스,0126Z0,제약,Health Care
레인보우로보틱스,277810,기계,Industrials
두산,000150,복합기업,Industrials
LG,003550,복합기업,Industrials
KT,030200,다각화된통신서비스,Communication Services
삼성에스디에스,018260,IT서비스,Information Technology
삼천당제약,000250,제약,Health Care
현대건설,000720,건설,Industrials
현대오토에버,307950,IT서비스,Information Technology
포스코인터내셔널,047050,무역회사와판매업체,Consumer Discretionary
키움증권,039490,증권,Financials
카카오뱅크,323410,은행,Financials
한국금융지주,071050,증권,Financials
크래프톤,259960,게임엔터테인먼트,Communication Services
S-Oil,010950,석유와가스,Energy
에이비엘바이오,298380,생물공학,Health Care
DB손해보험,005830,손해보험,Financials
LIG넥스원,079550,우주항공과국방,Industrials
에이피알,278470,화장품,Consumer Discretionary
NH투자증권,005940,증권,Financials
현대차2우B,005387,자동차,Consumer Discretionary
카카오페이,377300,IT서비스,Information Technology
한화,000880,복합기업,Industrials
이수페타시스,007660,전자장비와기기,Information Technology
SK바이오팜,326030,제약,Health Care
대한항공,003490,항공사,Industrials
유한양행,000100,제약,Health Care
코오롱티슈진,950160,생물공학,Health Care
삼양식품,003230,식품,Consumer Staples
삼성증권,016360,증권,Financials
아모레퍼시픽,090430,화장품,Consumer Discretionary
한국타이어앤테크놀로지,161390,자동차부품,Consumer Discretionary
HD현대마린솔루션,443060,조선,Industrials
한진칼,180640,항공사,Industrials
리노공업,058470,반도체와반도체장비,Information Technology
LS,006260,전기장비,Utilities
두산로보틱스,454910,기계,Industrials
HLB,028300,건강관리장비와용품,Health Care
LG유플러스,032640,무선통신서비스,Communication Services
LG씨엔에스,064400,IT서비스,Information Technology
한미약품,128940,제약,Health Care
리가켐바이오,141080,제약,Health Care
케어젠,214370,건강관리업체및서비스,Health Care
펩트론,087010,생물공학,Health Care
삼성카드,029780,카드,Financials
GS,078930,석유와가스,Energy
삼성E&A,028050,건설,Industrials
한화솔루션,009830,에너지장비및서비스,Energy
대한전선,001440,전기장비,Utilities
코웨이,021240,가정용기기와용품,Consumer Discretionary
두산밥캣,241560,기계,Industrials
HD건설기계,267270,기계,Industrials
CJ,001040,복합기업,Industrials
포스코DX,022100,IT서비스,Information Technology
